time,sent,recv
1763892840.2961018,6751974,19452970
1763892845.3133025,6759519,19459060
1763892850.3212388,6771292,19460052
1763892855.3327434,6801846,19483035
1763892860.339848,6817148,19489568
1763892865.359083,6828724,19491110
1763892870.381017,6838786,19492180
1763892875.3881052,6851356,19493601
1763892880.4286387,6868614,19500225
1763892885.4439695,6878901,19501224
1763892890.4562562,6889530,19502100
1763892895.4707913,6922430,19504645
1763892900.486874,6977283,19523005
1763892905.5047877,7065589,19543730
1763892910.5286405,7160787,19642088
1763892915.543455,7173462,19644271
1763892920.5612466,7187727,19654857
1763892925.5760508,7216056,19659072
1763892930.5992255,7248748,19668120
1763892935.6132174,7290234,19691978
1763892940.6352909,7304850,19703514
1763892945.6508882,7317313,19713373
1763892950.6729507,7329508,19723292
1763892955.6914814,7356654,19734915
1763892960.7111487,7508275,19825544
